Country,One_Week_Change_Percentage
"Papua New Guinea",226.32
Gambia,191.07
Bahamas,119.54
Zimbabwe,57.85
Libya,42.78
Ethiopia,42.52
Botswana,41.57
Lesotho,40.67
Suriname,37.44
"Costa Rica",37.34
Namibia,37.13
Zambia,36.86
Madagascar,35.47
Lebanon,33.63
Montenegro,32.22
Cambodia,32.16
Kenya,30.53
Venezuela,29.63
India,28.11
Argentina,28.02
Angola,26.84
Eswatini,26.83
Kosovo,26.14
Colombia,26.03
"Bosnia and Herzegovina",23.81
Uzbekistan,23.67
"El Salvador",23.17
Australia,23.13
Israel,23.04
Kyrgyzstan,22.67
Malawi,22.46
Paraguay,21.34
Japan,21.15
"South Africa",21.12
Romania,20.35
Belize,20
"West Bank and Gaza",19.12
Philippines,19.07
Bulgaria,18.95
Morocco,18.93
"Dominican Republic",18.9
Iraq,18.89
Ghana,18.27
Algeria,18.07
Burundi,17.39
Albania,17
Bolivia,16.71
Guatemala,16.06
"Sao Tome and Principe",15.95
Guyana,15.43
Rwanda,15.35
Brazil,15.28
Kazakhstan,15.22
Honduras,14.82
Indonesia,13.7
Mexico,13.19
"Antigua and Barbuda",13.16
Uruguay,12.97
Panama,12.89
Oman,12.66
"Cabo Verde",12.41
Maldives,12.34
"Congo (Brazzaville)",12.24
Vietnam,12.24
Luxembourg,12.09
US,11.88
Gabon,11.75
Croatia,11.69
Togo,11.62
Nigeria,10.62
Benin,10.49
"North Macedonia",10.42
Ukraine,10.42
Slovakia,10.15
Czechia,10.06
Bhutan,10
Moldova,9.66
Georgia,9.43
"Cote d'Ivoire",9.38
Nicaragua,9.28
Azerbaijan,9.16
Senegal,9.12
Bangladesh,9.05
Peru,8.96
Ecuador,8.77
"Trinidad and Tobago",8.03
Kuwait,7.72
Greenland,7.69
Poland,7.48
Guinea,7.06
Armenia,6.89
Bahrain,6.89
Slovenia,6.86
Monaco,6.42
Iran,6.3
"Saudi Arabia",6.15
Comoros,5.99
Cameroon,5.9
Singapore,5.84
Eritrea,5.58
Seychelles,5.56
Uganda,5.52
Jamaica,5.44
Liberia,5.42
Greece,5.36
Tunisia,5.36
Laos,5.26
Russia,5.21
Nepal,5.09
Mauritania,4.81
"Congo (Kinshasa)",4.75
Egypt,4.62
Tajikistan,4.54
Chile,4.47
Yemen,4.45
"Saint Lucia",4.35
"South Sudan",4.25
"Sierra Leone",4.21
Austria,4.13
Haiti,4.07
"Saint Vincent and the Grenadines",4
Sudan,3.93
Barbados,3.77
Chad,3.71
Lithuania,3.7
Belgium,3.64
Malta,3.55
Cuba,3.52
"United Arab Emirates",3.47
"Burkina Faso",3.29
Portugal,3.13
Pakistan,3.08
France,2.96
Turkey,2.92
Spain,2.86
"South Korea",2.8
"Sri Lanka",2.75
Burma,2.64
Andorra,2.6
Hungary,2.51
Switzerland,2.51
Netherlands,2.46
Niger,2.44
Taiwan*,2.44
Qatar,2.39
Denmark,2.29
Latvia,2.27
Cyprus,2.12
Somalia,2.11
Afghanistan,2.07
Germany,1.86
"United Kingdom",1.6
Belarus,1.57
Mali,1.54
Thailand,1.45
China,1.36
Malaysia,1.18
"Central African Republic",1.12
Norway,1.08
Iceland,0.82
Finland,0.79
Djibouti,0.78
Mongolia,0.7
Italy,0.68
Estonia,0.64
Ireland,0.49
Mauritius,0.29
Guinea-Bissau,0.26
"New Zealand",0.13
Brunei,0
Dominica,0
"Equatorial Guinea",0
Fiji,0
Grenada,0
"Holy See",0
Liechtenstein,0
"Saint Kitts and Nevis",0
"San Marino",0
Tanzania,0
Timor-Leste,0
"Western Sahara",0
Jordan,-3.84
