Country,Total_Deaths
USA,162804
Brazil,98644
Mexico,50517
UK,46413
India,41638
Italy,35187
France,30312
Spain,28500
Peru,20424
Iran,17976
Russia,14606
Colombia,11939
Chile,9889
Belgium,9859
"South Africa",9604
Germany,9252
Canada,8966
Netherlands,6153
Pakistan,6035
Ecuador,5877
Turkey,5798
Sweden,5766
Indonesia,5521
Iraq,5161
Egypt,4951
Argentina,4251
Bolivia,3465
Bangladesh,3306
"Saudi Arabia",3055
Romania,2566
Philippines,2150
Guatemala,2119
Switzerland,1985
Ukraine,1819
Poland,1774
Ireland,1768
Portugal,1743
Panama,1574
Kyrgyzstan,1447
Honduras,1423
Afghanistan,1298
Algeria,1273
"Dominican Republic",1246
Kazakhstan,1058
Japan,1026
Nigeria,930
Moldova,828
Armenia,772
Sudan,763
Austria,719
Serbia,621
Denmark,617
Hungary,600
Belarus,580
Israel,576
"North Macedonia",517
"El Salvador",513
Yemen,508
Oman,492
Azerbaijan,479
Kuwait,469
Morocco,449
Bulgaria,435
Kenya,399
Cameroon,391
Czechia,390
"Bosnia and Herzegovina",384
Ethiopia,365
UAE,354
Finland,331
"S. Korea",303
Norway,256
Australia,255
Senegal,223
DRC,215
Greece,210
"Costa Rica",200
Ghana,199
Zambia,199
Venezuela,195
Albania,188
Qatar,178
Uzbekistan,175
Haiti,171
Mauritania,157
Bahrain,156
Croatia,155
Malawi,137
Madagascar,134
Malaysia,125
Slovenia,125
Mali,124
Nicaragua,123
Luxembourg,119
Libya,107
"Ivory Coast",103
Somalia,93
Palestine,92
Cuba,88
Zimbabwe,84
"Equatorial Guinea",83
Lithuania,81
Liberia,78
Chad,76
Lebanon,70
Niger,69
"Sierra Leone",67
Paraguay,66
Nepal,65
Angola,64
Estonia,63
Tajikistan,62
Montenegro,60
Djibouti,59
CAR,59
Congo,58
Thailand,58
Eswatini,55
"Burkina Faso",54
Andorra,52
Gabon,51
Tunisia,51
Guinea,49
Syria,48
"French Guiana",47
"South Sudan",47
"Channel Islands",47
"Hong Kong",46
"San Marino",42
Mayotte,39
Benin,38
Uruguay,37
Latvia,32
Slovakia,29
Suriname,29
Singapore,27
"Cabo Verde",27
Guinea-Bissau,27
"Isle of Man",24
Lesotho,23
"New Zealand",22
Togo,22
Guyana,22
Tanzania,21
Maldives,19
Cyprus,19
Georgia,17
Gambia,16
"Sint Maarten",16
Namibia,15
Mozambique,15
"Sao Tome and Principe",15
Martinique,15
Bahamas,14
Guadeloupe,14
"Diamond Princess",13
Jamaica,12
"Sri Lanka",11
Jordan,11
Iceland,10
Vietnam,10
Mauritius,10
Malta,9
Bermuda,9
"Trinidad and Tobago",8
Taiwan,7
Comoros,7
Barbados,7
Myanmar,6
Rwanda,5
Uganda,5
Réunion,5
Monaco,4
Aruba,3
"Papua New Guinea",3
"Brunei ",3
"Antigua and Barbuda",3
"Saint Martin",3
Botswana,2
"Turks and Caicos",2
Belize,2
Burundi,1
"Cayman Islands",1
Liechtenstein,1
Curaçao,1
Fiji,1
Montserrat,1
"Western Sahara",1
Mongolia,NULL
Eritrea,NULL
"Faeroe Islands",NULL
Cambodia,NULL
Gibraltar,NULL
Seychelles,NULL
Bhutan,NULL
"French Polynesia",NULL
"St. Vincent Grenadines",NULL
Macao,NULL
"Saint Lucia",NULL
Timor-Leste,NULL
Grenada,NULL
"New Caledonia",NULL
Laos,NULL
Dominica,NULL
"Saint Kitts and Nevis",NULL
Greenland,NULL
"Caribbean Netherlands",NULL
"Falkland Islands",NULL
"Vatican City",NULL
