Country,Total_Recovered
USA,2576668
Brazil,2047660
India,1377384
Russia,676357
"South Africa",387316
Chile,340168
Peru,310337
Mexico,308848
Iran,277463
Pakistan,256058
"Saudi Arabia",247089
Turkey,220546
Italy,201323
Germany,196200
Colombia,192355
Bangladesh,143824
Qatar,108831
Canada,103106
Iraq,101025
Argentina,99852
France,82460
Indonesia,75645
Ecuador,71318
Oman,70910
Kazakhstan,68871
Philippines,66837
Belarus,63756
Kuwait,61610
UAE,55739
Israel,53427
Egypt,48898
Singapore,48031
Panama,45658
Ukraine,42524
Guatemala,42070
"Dominican Republic",40539
Bahrain,39945
Portugal,37840
Ghana,36384
Poland,35642
Nigeria,32430
Switzerland,31600
Armenia,31556
Kyrgyzstan,30099
Azerbaijan,29275
Romania,28992
Japan,28877
Bolivia,27373
Afghanistan,25840
Ireland,23364
Algeria,23238
Morocco,20553
Austria,19596
Uzbekistan,19291
Moldova,18676
Belgium,17661
Nepal,15389
Cameroon,15320
Serbia,14047
"S. Korea",13543
Denmark,12787
"Ivory Coast",12484
Czechia,12320
Venezuela,12146
Australia,10941
Kenya,10444
Madagascar,10148
"El Salvador",9236
Ethiopia,9027
Norway,8857
Malaysia,8713
DRC,8048
"North Macedonia",7480
Bulgaria,7374
"French Guiana",7240
Senegal,7101
"Bosnia and Herzegovina",7042
"Costa Rica",7038
Finland,6980
Palestine,6907
Guinea,6757
Tajikistan,6443
Sudan,6194
Honduras,6116
Zambia,5786
Luxembourg,5750
Gabon,5609
Mauritania,5291
Djibouti,5057
Paraguay,4974
Haiti,4832
Croatia,4688
Hungary,3463
Albania,3155
Thailand,3148
Nicaragua,2913
Mayotte,2738
Maldives,2725
"Sri Lanka",2541
"Hong Kong",2458
Cuba,2409
"Equatorial Guinea",2182
Montenegro,2178
Malawi,2137
"Cabo Verde",2010
Lebanon,1974
Mali,1954
Estonia,1954
Slovenia,1909
Iceland,1825
Slovakia,1824
Somalia,1728
Lithuania,1656
CAR,1641
Benin,1600
Congo,1589
"New Zealand",1524
Eswatini,1476
Suriname,1446
"Sierra Leone",1427
Greece,1374
Zimbabwe,1264
Rwanda,1258
Tunisia,1241
"South Sudan",1175
Jordan,1171
Uganda,1102
Uruguay,1079
Latvia,1070
Niger,1057
Georgia,987
"Burkina Faso",961
Guinea-Bissau,944
Yemen,898
Cyprus,856
Chad,838
Andorra,828
"Sao Tome and Principe",797
Mozambique,795
Jamaica,745
Liberia,705
Togo,697
Malta,670
"San Marino",657
Libya,652
"Diamond Princess",651
Réunion,592
Namibia,563
"Channel Islands",533
Angola,520
Taiwan,443
Vietnam,392
Comoros,340
Mauritius,334
"Isle of Man",312
Syria,311
Myanmar,308
Burundi,304
Mongolia,260
Eritrea,225
Cambodia,210
"Cayman Islands",202
"Faeroe Islands",192
Guyana,189
Gibraltar,184
Tanzania,183
Guadeloupe,179
Lesotho,175
Bermuda,144
"Brunei ",138
Gambia,136
"Trinidad and Tobago",135
Seychelles,124
Aruba,114
Monaco,105
Barbados,100
Martinique,98
Bhutan,93
Bahamas,91
Liechtenstein,85
"Antigua and Barbuda",76
"Sint Maarten",64
Botswana,63
"French Polynesia",62
"Papua New Guinea",53
"St. Vincent Grenadines",46
Macao,46
"Saint Martin",41
"Turks and Caicos",39
Belize,31
Curaçao,28
"Saint Lucia",24
Timor-Leste,24
Grenada,23
"New Caledonia",22
Laos,19
Fiji,18
Dominica,18
"Saint Kitts and Nevis",16
Greenland,14
"Falkland Islands",13
"Vatican City",12
Montserrat,10
"Western Sahara",8
"Caribbean Netherlands",7
Spain,NULL
UK,NULL
Sweden,NULL
Netherlands,NULL
