Country,Total_Cases_Per_Million
Qatar,39922
"French Guiana",27146
Bahrain,25130
"San Marino",20596
Chile,19165
Panama,16527
Kuwait,16378
Oman,15769
USA,15194
"Vatican City",14981
Peru,13793
Brazil,13716
Armenia,13435
Andorra,12216
Luxembourg,11282
Mayotte,11126
Singapore,9318
"South Africa",9063
Israel,8650
Maldives,8643
"Saudi Arabia",8152
Sweden,8111
Spain,7582
Bolivia,7394
Belarus,7250
"Dominican Republic",7048
Colombia,7023
Moldova,6603
UAE,6246
Belgium,6137
Russia,5974
Kyrgyzstan,5916
Iceland,5652
Gibraltar,5640
Montenegro,5541
"North Macedonia",5471
"Faeroe Islands",5442
Djibouti,5387
Ireland,5335
Ecuador,5124
Portugal,5107
Kazakhstan,5104
Argentina,5044
"Cabo Verde",4912
Honduras,4546
UK,4537
Switzerland,4169
"Costa Rica",4132
Italy,4122
"Bosnia and Herzegovina",4086
"Sao Tome and Principe",3999
"Isle of Man",3949
Iran,3806
"Sint Maarten",3728
"Falkland Islands",3726
Mexico,3585
Suriname,3570
Gabon,3491
Iraq,3488
"Channel Islands",3431
"Equatorial Guinea",3426
"Turks and Caicos",3327
Netherlands,3325
Azerbaijan,3276
Monaco,3183
Canada,3139
Serbia,3129
"Cayman Islands",3085
Guatemala,3028
Romania,3012
France,2996
"El Salvador",2947
Turkey,2810
Palestine,2621
Montserrat,2604
Germany,2568
Eswatini,2556
Bermuda,2522
Denmark,2469
Aruba,2462
Austria,2408
Liechtenstein,2334
Malta,2142
Albania,2091
Bahamas,1933
Bulgaria,1874
Ukraine,1757
Norway,1745
Czechia,1655
Estonia,1601
Bangladesh,1514
India,1466
Mauritania,1383
"Saint Martin",1368
Finland,1359
Croatia,1317
Poland,1308
Seychelles,1280
Pakistan,1274
Ghana,1273
Philippines,1089
Slovenia,1069
Namibia,1042
Guinea-Bissau,1030
Cyprus,1000
CAR,955
Afghanistan,946
"Antigua and Barbuda",939
Egypt,927
Paraguay,893
Uzbekistan,845
Lebanon,831
Morocco,802
Tajikistan,802
Lithuania,799
Venezuela,784
Australia,779
Algeria,766
Réunion,749
Nepal,745
Martinique,736
Libya,709
Guadeloupe,697
Guyana,684
Latvia,677
Cameroon,666
Haiti,661
Congo,641
Senegal,638
"Ivory Coast",622
Nicaragua,588
Guinea,582
"Hong Kong",513
"St. Vincent Grenadines",505
"Caribbean Netherlands",495
Greece,492
Hungary,476
Barbados,463
Slovakia,454
Comoros,454
Kenya,453
Madagascar,451
Indonesia,434
Zambia,389
Gambia,386
Uruguay,379
Lesotho,346
Botswana,341
Japan,334
Jamaica,323
"Brunei ",322
"Saint Kitts and Nevis",319
"New Zealand",314
Georgia,302
Zimbabwe,292
"S. Korea",283
Malaysia,279
Mauritius,270
Sudan,268
Dominica,250
Greenland,247
Cuba,245
Liberia,241
"Sierra Leone",235
Malawi,234
"French Polynesia",228
Nigeria,219
"South Sudan",219
Belize,216
Grenada,213
Somalia,203
Curaçao,189
Ethiopia,181
Rwanda,163
Benin,159
"Trinidad and Tobago",150
Tunisia,139
Bhutan,136
"Saint Lucia",136
"Sri Lanka",133
Mali,126
Togo,122
Jordan,121
DRC,104
Mongolia,89
Eritrea,79
"New Caledonia",77
Macao,71
Mozambique,68
Yemen,59
Syria,57
Chad,57
"Burkina Faso",55
Thailand,48
Niger,47
Angola,45
Burundi,33
Fiji,30
Uganda,27
Taiwan,20
Timor-Leste,19
"Papua New Guinea",18
"Western Sahara",17
Cambodia,15
Vietnam,8
Tanzania,8
Myanmar,7
Laos,3
"Diamond Princess",NULL
